Token,Type,blue,brown,green,orange,purple,red,white,yellow
arch,rgb,0.53384881687930608,0.10250602474620643,0.54325272850900286,0.40672688257989231,0.085474869393068573,0.14045109052316995,0.32587640341932061,0.53701707940509158
arch,rgb,0.000957401104022223,9.6633779055130121e-05,0.19555697949971163,0.31601228430343531,0.0010462740579818719,0.00011006540044541549,1.7359268996247933e-12,0.24453907153233087
banana,rgb,0.0,4.894088457361053e-20,0.033492477685663352,1.8814114117022631e-31,1.8141522143031663e-05,1.5972297841297396e-206,4.2981932317108545e-20,0.25001100960654077
banana,rgb,1.8501201347769065e-06,9.0014360320312374e-05,9.3564325430852405e-05,0.16666669557961392,0.00028865266166833213,0.00026655355514694886,1.8816719424440922e-09,0.24997409807944942
block,rgb,0.999999999071299,3.7941352895248652e-08,0.68740201309604143,4.9709029029276075e-05,0.0010695777410272462,0.49751356013103754,1.4636860490868408e-07,0.20303751554546018
block,rgb,0.97910106972146682,0.0084053114417381742,0.64499880077474869,0.16665847724535982,0.077508490823052889,0.45922985718630849,0.36363336447621059,0.20577277091868987
blue,rgb,0.99999999800576234,1.1791391031187547e-05,7.0352156550952479e-05,1.8831096439379159e-22,0.00045224149124294149,7.319300897709962e-07,1.6466073777108306e-21,3.6596502753170916e-07
blue,rgb,0.001391222014348764,0.0020841601807470595,0.28996308952486527,0.00051521279345048969,1.2592481542427639e-05,0.2803631659784947,1.5323664505683e-07,0.10034259063766371
brown,rgb,3.7776222388064207e-115,0.99994419242403654,7.1802664125033309e-08,0.49909894164230645,0.00013882502920771806,4.2075216142477546e-24,4.5695649465576893e-25,3.6233306388602729e-19
brown,rgb,1.0317028857602573e-05,0.22388543755387236,0.00029950187342729363,0.16857679507380258,9.1000742112809219e-06,0.0013609280323046368,1.1121152557010542e-10,0.04530124885711808
cabbage,rgb,2.0919701237316968e-61,2.2433185353368709e-60,2.7194023448426938e-21,7.5239383852626221e-221,0.33300356015076832,3.1107898735566071e-168,2.349320487978173e-45,1.5553949367783035e-168
cabbage,rgb,1.2406918800936533e-06,5.4370186818666883e-05,0.00040410731468688507,8.11540874149291e-10,0.33333326606870944,1.2963439978072311e-06,1.0417444006277283e-17,2.3214030585314549e-07
