Token,Type,arch,cube,cuboid,cylinder,ellipsoid,long-cone,ovoid,semicylinder,triangle
arch,shape,0.7366130350642992,0.15924744852929812,0.53384881687930608,0.68850493891812503,0.25000837911828988,0.44375798141642964,0.21128931280728322,0.49866369069931621,0.64204481964840343
arch,shape,0.97707840321130668,0.00022008679670106572,0.000957401104022223,3.3671864853736904e-08,0.00027139049116325025,0.31601228429845346,0.0014933598414457179,6.9391432875486104e-15,0.00013334637706241423
banana,shape,0.49999996700281013,1.8902740630058793e-300,0.0,1.0793092201130362e-64,0.023925074866058327,2.1490966158742415e-20,2.0644466168757128e-05,4.4104420542770255e-05,2.2466777781962858e-76
banana,shape,0.50010643711526936,0.00053306203744030015,1.8501201347769065e-06,2.7166373653834029e-08,0.0001344209118327646,0.16666669652043972,2.9446718107235628e-05,7.0260206967647832e-15,0.00010744507433440017
block,shape,0.5977109125766833,0.99431975981082166,0.999999999071299,0.98754645226028082,0.095206253381494133,4.9781881670021777e-05,0.0015777257360666147,0.40347561506777441,0.9963257818657919
block,shape,0.51020849213840325,0.91671409564270356,0.97910106972146682,0.9999920286490307,0.002681840605153515,0.34847412270173589,0.22800331693405212,0.79951788930401724,0.99431152468882522
blue,shape,1.7808986220468382e-05,6.9415155811190545e-14,0.99999999800576234,3.0490586547158694e-05,0.00018543003812114634,8.2330368885544471e-22,0.00017239790635454873,3.806432719713508e-30,1.2825869079683847e-05
blue,shape,0.41528589279806893,0.56070184873179518,0.001391222014348764,0.2195247898699321,0.00030935974956749042,0.00050570673005025362,0.0040171636660361037,3.2762674214081405e-18,0.79303049211868648
brown,shape,2.2997735092612135e-16,8.4418006266202496e-47,3.7776222388064207e-115,4.1899915067208354e-38,0.28546941728244246,1.2744651012132681e-09,0.00013649314178277173,6.4004610755141891e-37,1.8077630545474864e-41
brown,shape,7.4280400421734039e-09,5.212925317531722e-05,1.0317028857602573e-05,3.4340775188403116e-07,0.032365146059127291,0.16857679512939466,0.00024255239645109232,0.17853525640016749,0.0010385007013496521
cabbage,shape,3.2798092927901644e-31,1.1897845109294894e-234,2.0919701237316968e-61,3.4815809456802049e-38,0.14271458949429303,1.1746602439890865e-45,4.276996126826171e-06,0.0,9.581857145041169e-39
cabbage,shape,0.00093686337864168053,2.5926599795927689e-06,1.2406918800936533e-06,1.3342162019709989e-07,0.14286483238845407,8.1154087876360131e-10,6.4949759543076022e-05,7.5772205196306201e-21,1.8047110436726806e-05
carrot,shape,4.5043128657743582e-16,1.5181497731539424e-68,6.7986308878055464e-104,9.3835257098781421e-37,0.0030458858968205179,0.33332408515147732,0.00010149903667370468,3.7053414737927951e-47,4.4687699606198377e-40
carrot,shape,3.0608732075332609e-07,6.2039000338559157e-05,1.7488284718555616e-05,4.9983014036069035e-08,4.9657609552675878e-06,0.33747909158337924,4.3249265117201845e-05,3.092720356731728e-19,0.00025333462401383764
