Token,Type,arch,cube,cuboid,cylinder,ellipsoid,long-cone,ovoid,semicylinder,triangle
corn,shape,1.780688023041291e-22,9.469223871191915e-296,0.0,1.6546806054940235e-55,2.2770782072157931e-06,0.49438858637808264,0.0020314389390605181,2.7654128819411504e-190,9.9907708035417431e-63
corn,shape,9.441080788313898e-07,8.7188610599699714e-05,0.00053747759001885232,2.2038003570544294e-06,0.0001135393667453733,0.24111226396671775,0.03241620666373829,4.0477926994855484e-09,4.5089110840221009e-05
cube,shape,0.22332088332498806,3.4429153773758793e-66,0.062754806872195854,0.8821543706837538,0.075083518898650545,6.2885672459359415e-13,0.18148954677750739,0.24021175017091823,0.7566666428955261
cube,shape,2.1284862489462795e-06,0.99985583444284054,0.0094569749933152945,3.6177376757998357e-07,0.0014410731016941177,0.078245977227271238,0.00084720456411948762,2.6658374003626742e-19,1.8911607068443267e-05
cuboid,shape,0.31036263281994836,0.1361125016601254,0.0020177199198748346,0.54312285371238544,0.11598000326857627,9.0063542373789078e-05,0.021458331594388196,0.35997790049307943,0.43709746693127566
cuboid,shape,8.7040178845705471e-06,0.00085790125330286024,0.98756588549008306,9.5112884080155206e-08,0.00031694601857319845,0.16584385207036942,0.00013065439932504218,0.00023478154587553411,0.00012092314170872389
cucumber,shape,0.098621443962086913,6.9681935553653065e-224,3.075710048298828e-179,4.098931783467101e-06,0.00027203637001323167,1.7408527916012817e-21,0.49938349982887625,1.1501131184364963e-55,6.2106483352912696e-08
cucumber,shape,0.033237099502984223,0.00010202404471763618,0.0029250136876078645,2.3940068324474448e-06,3.2349731304748027e-06,0.39392886138968619,0.39585042057506303,9.5763114830018887e-21,0.0020633417017145539
cylinder,shape,0.0013074934025536628,0.4098814573892236,0.69585851821493905,0.0033815387350996191,0.26725377759709679,1.0664005619990214e-07,0.0093388881007336645,0.4013841588152135,0.0020679755714982607
cylinder,shape,7.429700685790881e-05,6.6524665169020682e-05,0.00095019348337596816,0.99583323368576449,0.00060173833299980838,0.0030557410419263897,0.0048418656795333592,3.0774727535590567e-20,0.018833554411415241
eggplant,shape,2.261242860127471e-30,0.0,0.0,3.4671383875507192e-71,0.0054272037975078022,0.037155623770965367,0.49990397680063975,0.0,3.2780178759967057e-77
eggplant,shape,1.3828697008101743e-07,0.00012300834488372162,5.882639495866735e-05,2.6749791355818802e-08,1.1571696498660099e-05,1.7956532710908265e-07,0.41173059265264339,8.3040037087813061e-29,0.00011912693272218255
ellipsoid,shape,0.025438785743841341,0.15446320734525934,0.0028888371390613371,0.0015806381410004137,0.78839966722129973,0.10288951526791741,0.31295381227338359,0.56010520447126422,0.0010831890092191374
ellipsoid,shape,2.722035461586126e-08,0.0046307686903934468,0.0089038328913946339,8.8399237446559813e-07,0.99970374915970184,0.1430943931833209,0.099917014265151302,0.10741777226258516,0.00021982924191233595
green,shape,0.99793898134603576,9.051143072972123e-100,3.0847754843023873e-229,1.0,0.14285714285714321,1.7114897272486922e-37,0.50000000170456094,1.8597513088339126e-11,1.0
green,shape,0.18992713695964414,0.020626414211685699,0.39725232730024423,5.5156982443030097e-08,0.16138130906344503,0.55476643651312063,0.40952529282101008,0.39400238589830583,0.0013429790961325672
lemon,shape,7.9190527478107561e-07,3.8930739578785332e-116,1.5841459331579946e-45,1.6752685677892633e-26,0.1428509439530237,7.5963615051768742e-24,5.5949493338836185e-06,0.057786983130395334,2.2880001545915973e-29
lemon,shape,9.5563821005186972e-08,5.7441396932302821e-07,6.2884118862994374e-05,3.4436664466265179e-06,0.072810034731768655,3.5935315892898311e-06,7.4121792695208699e-05,3.9689178908909817e-14,0.0034396363372310563
lime,shape,0.0028942804266557814,4.442635162222526e-100,1.2103678402879316e-235,2.5026609896188839e-10,0.11733021667159504,1.404475484292359e-63,0.01623564075433339,1.56003570330765e-29,1.1145022453465963e-12
lime,shape,6.5431746873387493e-07,3.4209883386246678e-05,0.00015705171881307445,1.4354437933988303e-06,0.13984520317152632,3.0970123956825041e-10,0.0002006765094165859,3.4288529780006339e-24,0.00087438916447972069
long-cone,shape,5.9684627626489486e-26,1.7963362708948766e-112,1.5681054399186428e-261,3.1170784353175803e-52,2.4605693563590971e-05,0.83043774857907304,0.0025390110650124142,6.3097089006476192e-214,7.6130205474245212e-56
long-cone,shape,4.529795521863962e-08,0.00094227838454356296,0.0005170943484424464,1.8366088720953433e-07,6.3887625638443579e-05,0.67160981541022846,0.0091579258992653227,2.2840777900519365e-16,0.0012219867696874422
orange,shape,3.1020490335876534e-05,4.606458033809025e-15,1.8247961532504774e-30,1.1942647940807178e-11,0.27541156700501124,0.33250526017813664,0.00131417321207826,0.0018252694277161683,1.3176444819055869e-12
orange,shape,1.7570127934327136e-08,6.0192017700076047e-05,5.1573738828260239e-05,9.1206814124295042e-09,0.17405062289569537,0.45362086254746803,1.4830902267730861e-05,1.7073565348738226e-22,1.8384666923356708e-05
ovoid,shape,0.099666666832331663,0.0,0.0,1.2226253886049066e-09,0.017868847132388711,0.031187365122222685,0.92454157892019029,0.0,1.0223961799461244e-14
ovoid,shape,0.00049117954326023986,0.0013153178204142815,0.0085153312078601953,5.048963439165068e-07,3.5935863784601957e-07,0.37255192121408398,0.95173516284697368,3.4904541650783818e-29,0.00071894026151385132
plum,shape,9.3860813035365325e-51,3.6848308605217178e-07,1.3358410012741621e-38,2.3864302831853427e-90,0.00070741288359575725,1.2328668136673994e-59,8.8182418653117316e-13,1.0011547750890638e-293,7.9619168171909908e-91
plum,shape,2.7455594837988886e-06,0.12972417977176326,0.00022462112417920678,7.6670619082139878e-07,0.14216477428326726,0.16666666143490186,0.10995136538457184,9.2495611281369869e-22,0.0031981658629826105
potato,shape,1.1487234960589052e-15,8.0066679868587175e-44,2.2501746222883066e-121,9.9182230330557484e-37,0.28565799997102809,7.390887834117448e-08,8.3101308351866314e-05,1.2559832557923689e-38,6.0772559914857953e-40
potato,shape,7.4280400421734039e-09,5.212925317531722e-05,1.0317028857602573e-05,3.4340775188403116e-07,0.032365146059127291,0.16857679512939466,0.00024255239645109232,0.17853525640016749,0.0010385007013496521
purple,shape,0.29679711427231459,1.3174962519526689e-05,5.0860361593786324e-13,5.3122423204582769e-06,0.16999469010461654,0.084666173670547171,0.50024742975226377,1.3012201443291412e-48,0.20003639821201452
purple,shape,0.025126743534866804,0.045572568390035616,0.00015131151446944272,1.4181800751644139e-07,0.27579970223510458,1.0356179537417245e-11,0.49788574195123358,1.5313074283383009e-24,5.9794627201806466e-05
red,shape,4.6043640018721375e-34,0.99999123667984624,3.676715940925117e-16,1.9632490313741966e-61,0.14023682026248444,3.9330544154511646e-12,1.8987329397608423e-23,2.0128125854007652e-71,2.1487343968695761e-62
red,shape,0.059795032036555992,3.4078271015523902e-06,0.27361491246063185,0.91164064716876803,0.24073950897233704,0.0013009074843605248,0.14377190555550509,7.3178311936700946e-20,0.026101016820877936
semicylinder,shape,0.062694025360400737,0.048173325724941318,0.93733708549258199,0.77491060957094005,0.10021617931165165,2.3037517072787069e-15,0.017750204182333487,4.159029904469006e-09,0.46881946145900616
semicylinder,shape,0.24892310159861489,0.021989653497944676,4.3147298364845619e-06,0.0044990342956377849,2.5424008519286255e-05,0.090909527396477161,0.10013269573749016,2.122961573543575e-07,0.00014772081660709813
tomato,shape,1.0733859718842316e-90,0.00024112301315925238,9.3642579118370317e-17,5.7891149246650954e-166,0.14147918012868668,0.018246464632992298,9.3875806114268911e-42,5.2468530568158593e-306,3.5551744475468321e-168
tomato,shape,9.1876710521519745e-11,0.006005590434652837,1.8386085542924849e-06,4.5482593646819315e-07,0.23672955261365683,0.15466298890023253,0.00063227248986546863,1.8988507296550837e-21,6.2883159407797872e-06
triangle,shape,0.0010927451703193207,0.70486353863851359,0.92179778560458714,0.0007255532760639113,0.29045491517058586,0.00065249909400215129,0.02171003915566002,0.46840121026555492,0.00059091736015834731
triangle,shape,0.00069673212899102818,6.6628554102672245e-06,9.623063356586277e-05,0.087030092142773713,0.00044837059976219972,0.16935120266179468,0.00038258769592345015,9.3319068643186062e-26,0.97266603298457033
white,shape,1.7806902612218247e-22,9.4693998279030067e-296,0.0,1.6546861688694963e-55,2.2770788937366897e-06,0.49438858554609122,0.0020314392647899117,2.7654420441690298e-190,9.9908092342570304e-63
white,shape,9.441080788313898e-07,8.7188610599699714e-05,0.00053747759001885232,2.2038003570544294e-06,0.0001135393667453733,0.24111226396671775,0.03241620666373829,4.0477926994855484e-09,4.5089110840221009e-05
yellow,shape,0.49997784396043826,3.6437208037719564e-101,8.0011100699253601e-24,3.1429106076940412e-23,0.14301392962500317,0.0013740179194725178,0.00033084361162720948,0.9931674317550836,8.7682413435865973e-26
yellow,shape,0.29349059011374751,0.0012373231620598701,0.010683555032531046,5.1335187907719452e-07,0.11705519733366446,0.33332169491824093,0.01901494915294142,2.7270844343382808e-16,0.19581166516853257
