Epoch, Color Log Likelihood, Shape Loglikehood, Object Loglikelihood
163,-21964.8,-14689.6,-14313
164,-21967.9,-14615.1,-14294.3
165,-21961.3,-14602.3,-14317
166,-21966.6,-14624.9,-14286.7
167,-21961.3,-14712.2,-14313.8
168,-21964.4,-14618.1,-14293.3
169,-21958,-14607.9,-14306.2
170,-21959.6,-14592.8,-14286.7
171,-21959.3,-14648.6,-14321.3
172,-21964.1,-14768.7,-14334
173,-21962.5,-14750,-14316.7
174,-21960.4,-14785.8,-14321.7
175,-21954.5,-14566.2,-14288.5
176,-21959.1,-14726.2,-14318.5
177,-21959.4,-14729.3,-14361.8
178,-21960.5,-14655.6,-14321.6
179,-21955.7,-14711.4,-14348.2
180,-21958.2,-14521.1,-14272.4
181,-21955.8,-14634.5,-14319.8
182,-21961.1,-14714.9,-14314.4
183,-21956.2,-14574.7,-14297.8
184,-21961.6,-14823.5,-14371.4
185,-21954.1,-14599.8,-14288.3
186,-21953.8,-14601.7,-14330.6
187,-21952.8,-14643.4,-14316.6
188,-21957.8,-14727.4,-14368.1
189,-21951.4,-14646,-14354.8
190,-21954.8,-14583,-14305
191,-21949.5,-14630.5,-14326.5
192,-21949.3,-14559.1,-14318.6
193,-21951.1,-14779.1,-14383.7
194,-21947.4,-14577.5,-14318.3
195,-21949,-14677.1,-14355.2
196,-21949.4,-14737.8,-14357.1
197,-21947.6,-14754.7,-14357.7
198,-21950.5,-14651,-14346.5
199,-21949.3,-14749.8,-14391.5
200,-21944.4,-14591,-14329.9
201,-21942.4,-14619.8,-14345.6
202,-21946.7,-14576.2,-14319.5
203,-21947.2,-14889.8,-14400.1
204,-21944.9,-14571.7,-14278.3
205,-21945.3,-14660.4,-14344.5
206,-21945.5,-14579,-14299
207,-21944.6,-14628.9,-14347
208,-21947.8,-14600.4,-14308.2
209,-21941.3,-14511,-14306.2
210,-21950.3,-14612.1,-14315.3
211,-21943.9,-14718.3,-14368.2
212,-21948.9,-14775.5,-14373.1
213,-21943.3,-14577.8,-14315
214,-21947.1,-14584.9,-14322.8
215,-21939,-14572,-14336.4
216,-21939,-14531.3,-14320.9
217,-21938.8,-14607.7,-14341.8
218,-21946.1,-14780.6,-14360.7
219,-21939.9,-14627,-14341.5
220,-21942.8,-14577.8,-14323.1
221,-21935.5,-14594.9,-14349
222,-21939,-14600.2,-14347.9
223,-21936.6,-14739.8,-14369.9
224,-21940.9,-14644.5,-14354
225,-21938.2,-14749.2,-14372
226,-21938.9,-14545.8,-14328.8
227,-21935.7,-14643.2,-14382.1
228,-21940.7,-14542.7,-14313.1
229,-21937.9,-14724.6,-14380.8
230,-21937,-14533.7,-14338.4
231,-21936.5,-14609.3,-14387.4
232,-21939.8,-14833,-14426.1
233,-21938.2,-14759.6,-14397.3
234,-21939.6,-14779.7,-14398
235,-21931.5,-14503.5,-14301.9
236,-21935.9,-14593.5,-14346.6
237,-21936.6,-14724.2,-14379.4
238,-21940.2,-14633.2,-14349.5
239,-21934.9,-14551.8,-14336.7
240,-21934.4,-14553.1,-14344.6
241,-21932.6,-14619.3,-14370.4
242,-21935,-14767.8,-14405.7
243,-21933.2,-14773.2,-14406
244,-21934.3,-14663.1,-14375.3
245,-21930,-14518.4,-14318
246,-21934.7,-14625.7,-14345.1
247,-21932.4,-14958.3,-14428.3
248,-21938.4,-14842.8,-14429.5
249,-21935.2,-14776.1,-14436
250,-21931.2,-14601.4,-14369.4
251,-21929.5,-14693.1,-14387.5
252,-21936.1,-14744,-14383.9
253,-21933.2,-14791.1,-14410.8
254,-21930.2,-14599.7,-14359.1
255,-21930.1,-14585.7,-14341.1
256,-21936.1,-14782.1,-14409.9
257,-21933.1,-14799.6,-14449.9
258,-21932.7,-14577,-14348.3
259,-21931.2,-14839.4,-14436.5
260,-21932,-14614.7,-14325.4
261,-21929,-14729.3,-14403.4
262,-21932.2,-14774.5,-14403.2
263,-21929,-14827.1,-14422.3
264,-21932.4,-14802,-14429.1
265,-21926.3,-14630,-14359.4
266,-21925.5,-14526,-14313.8
267,-21923.3,-14576.1,-14340.9
268,-21928.4,-14682,-14376.7
269,-21930.6,-14836.2,-14442.1
270,-21926.5,-14725.3,-14371.5
271,-21922.6,-14564.8,-14358.8
272,-21926.6,-14668.2,-14343.1
273,-21925.1,-14826.7,-14419.7
274,-21923.2,-14561,-14344
275,-21923.5,-14598.1,-14337.5
276,-21922.9,-14573.9,-14355.2
277,-21921.4,-14557.9,-14327.7
278,-21925.4,-14638.2,-14363.9
279,-21927,-14745.6,-14394.8
280,-21927.2,-14709.2,-14391.5
281,-21923.5,-14720.1,-14404.5
282,-21922.6,-14521.5,-14295.7
283,-21921.4,-14576.4,-14344.2
284,-21926.9,-14613.9,-14320.5
285,-21922.8,-14612.9,-14351.7
286,-21924.6,-14591.3,-14345.4
287,-21921.8,-14620.4,-14329.5
288,-21927.4,-14596.1,-14336.9
