Token,Type,tomato/tomato_4,cylinder/cylinder_1,cube/cube_4,lemon/lemon_3,potato/potato_1,cuboid/cuboid_4,plum/plum_4,corn/corn_2,semicylinder/semicylinder_4,carrot/carrot_1,cucumber/cucumber_2,eggplant/eggplant_3,orange/orange_4,triangle/triangle_3,cabbage/cabbage_2,arch/arch_2,banana/banana_2,lime/lime_2
,,yellow red tomato ellipsoid,yellow cylinder block,red cube block,yellow lemon ellipsoid,brown potato ellipsoid,blue cuboid block,purple plum ellipsoid,corn white long-cone,green semicylinder block,carrot orange long-cone,green cucumber ovoid,eggplant purple ovoid,orange ellipsoid,green triangle block,cabbage purple ellipsoid,blue arch block,yellow banana arch,green lime ellipsoid
cylinder,rgb,0.973301182493,8.61338362014e-54,0.015271282836,6.12318855908e-45,0.00968758731242,0.225893654196,3.1218881048e-19,1.55465527495e-34,0.797423153517,1.81657904999e-55,0.00743809360111,0.00463233849774,1.88030896746e-12,0.566504662973,0.0386348996532,0.00197648155063,2.24341465333e-69,1.26413007958e-05
cylinder,shape,2.09898667842e-09,0.466237580053,2.31523988608e-06,4.047712749e-18,0.00426589281245,4.56611918128e-06,2.98310403589e-05,1.61254311273e-20,6.79511113193e-08,2.61099281939e-07,0.0010795848565,0.0262353800056,7.00239885179e-07,0.0251934948833,3.80921137576e-06,1.19949378019e-13,0.000368271649382,4.1528624185e-15
cuboid,rgb,0.250240736264,0.477611778416,0.0713114318512,0.0209613377281,0.00285483491773,0.000185320277149,4.16302567698e-08,1.07564476439e-09,0.832043407637,4.39991290312e-12,0.0193783248643,0.00321818728284,0.000557832492911,0.431189460137,0.00296890257991,2.1955250041e-06,0.000102021630694,0.135181527067
cuboid,shape,1.00566556069e-08,3.88867737708e-19,0.000703377673311,2.38035672971e-21,0.00159331947229,0.961152808782,0.000101722064779,2.11867691245e-07,0.00102454391115,0.000798036412996,0.000755878719633,0.000676168798876,2.11141777169e-09,0.000107102053692,0.00011484008629,0.000131425685154,3.45269619316e-08,2.19988423642e-15
long-cone,rgb,6.01452904025e-09,0.0,6.64906955142e-32,3.30692384389e-242,0.0616023827865,4.66061214337e-125,1.16158046177e-17,0.997780562007,3.60523101882e-58,0.90006596202,1.49974850227e-17,0.0579591572941,2.4845359633e-56,1.59512861843e-29,5.17953274076e-06,7.8372105882e-144,3.41922181977e-34,1.25413277121e-208
long-cone,shape,1.60070071567e-09,3.34035804976e-11,0.000190945503539,1.64266057678e-21,0.000338486463669,0.000380548347671,1.63643795121e-05,0.265893087775,0.000319459569171,0.360203456946,0.00139190481449,4.54097188044e-05,8.12754610185e-10,0.000889466592301,0.119714200783,1.80225503223e-07,0.00170088786555,5.36319472345e-20
yellow,rgb,1.90016999282e-54,0.999999668156,3.11193884945e-94,0.996968096274,3.49059885721e-08,1.10614059053e-27,1.01156402655e-29,0.00309854597997,6.03575603512e-22,1.64901929896e-09,2.88869845633e-08,0.00151567967283,0.00288333739101,5.88063041746e-26,0.000961644105874,2.3673557784e-28,0.991281924532,1.09334736362e-15
yellow,shape,6.23232242259e-06,0.35119925826,0.00320246748567,0.332560384587,0.208361079476,0.217960409166,0.00045391930668,0.0148456477907,1.12740822294e-05,0.299009255891,1.12314897455e-05,6.93270258777e-05,6.57381503645e-05,0.191049514282,6.55870283935e-08,6.91905966825e-08,0.280700874871,3.92305934535e-11
carrot,rgb,6.62464368661e-14,2.72896021409e-151,1.69864111569e-32,5.62590452137e-74,0.219939465099,5.60794790188e-23,3.01397695741e-07,1.8678007984e-09,4.52515568497e-40,0.975619911843,9.05842480744e-16,0.00247302963232,1.12560615471e-13,1.52128477623e-38,0.00217557847251,3.8133333402e-26,7.87387568618e-35,2.96973728761e-97
carrot,shape,9.43319125393e-11,5.84197225188e-14,3.24355748318e-05,2.13010323217e-30,4.82668720916e-05,6.10710944644e-06,8.42287906602e-07,2.99542804139e-18,1.16694844871e-08,0.237860395294,7.04163836483e-05,7.1362745162e-05,1.44797686752e-11,0.000205290069683,1.92155757628e-06,7.46437232353e-11,0.00932847301081,4.44671558636e-26
lime,rgb,9.93219444547e-28,1.70717011924e-15,1.21591863396e-40,6.77126603006e-32,9.27684588221e-07,1.75378463894e-200,4.31183148807e-42,2.04521972567e-66,0.00644173006346,1.20264040706e-57,5.04226036256e-06,2.7857533893e-14,9.54583907427e-11,1.87846892939e-10,3.91997143413e-20,5.17448343363e-231,7.89433253349e-14,0.999876978595
lime,shape,6.7024992792e-08,1.93215411767e-19,0.000180889224147,1.00965957568e-17,0.000218452939354,5.01148775517e-05,0.000290740604415,7.33532853443e-17,7.46130223141e-08,0.000640141883838,1.2677473133e-05,1.4576526533e-05,0.00187340655569,0.00226940159383,7.61077338879e-05,2.03170318735e-10,1.20264957622e-06,0.542823400236
blue,rgb,0.00084889462373,1.67387086362e-35,3.47453486799e-10,9.28380864023e-27,0.000176203821609,0.999999999951,1.03005554304e-16,2.37650329956e-22,2.13460779488e-05,1.23567559621e-35,5.29441964796e-06,6.74645565867e-05,3.70757649523e-10,6.60145555187e-06,0.000502549093674,0.999999999977,1.62437404687e-43,2.68547624897e-12
