Token,Type,tomato/tomato_4,cylinder/cylinder_1,cube/cube_4,lemon/lemon_3,potato/potato_1,cuboid/cuboid_4,plum/plum_4,corn/corn_2,semicylinder/semicylinder_4,carrot/carrot_1,cucumber/cucumber_2,eggplant/eggplant_3,orange/orange_4,triangle/triangle_3,cabbage/cabbage_2,arch/arch_2,banana/banana_2,lime/lime_2
blue,shape,5.29852545732e-06,0.000453842096673,0.644697680034,2.24627791601e-21,0.000266305399087,3.2123760394e-05,1.46496109846e-05,5.02936122576e-10,0.0154100037219,0.498801460542,2.61953263617e-07,0.0652236494231,2.89468424238e-07,0.75482065969,4.7978812027e-06,0.20043738864,3.10243555851e-06,1.58144728741e-21
lemon,rgb,3.81853972632e-28,0.000961453786144,1.72852535975e-55,0.999628213614,0.00112851627083,1.44865031935e-69,1.27810697852e-33,5.82239501831e-35,2.16205390145e-16,5.41374770845e-38,1.43428098455e-08,6.36375007156e-08,0.460113658404,8.703590262e-21,6.89050038663e-10,1.11675539969e-80,9.32771151441e-07,1.60703376178e-17
lemon,shape,5.0123079898e-06,1.24632723168e-11,1.77329214139e-06,0.114368859829,0.271129355937,2.20385129846e-05,2.57154638564e-07,0.000104367408524,2.31621060503e-08,0.000593441321974,7.49351146583e-06,7.04315776145e-06,0.000747667718001,0.0028098552581,2.7124527635e-06,3.70856314118e-10,5.85231203235e-08,1.64810059449e-18
ellipsoid,rgb,0.948825165168,0.432561357823,0.255360578122,0.852957941462,0.970119051311,0.00402770334831,0.885037971266,0.14083504909,0.00722621662473,0.138813835786,0.128109915696,0.444496791823,0.993175716738,0.00292765865346,0.415288557727,0.00198700636742,0.00329922358294,0.701678772383
ellipsoid,shape,0.99983273431,1.24934406131e-17,0.00698874623178,0.817228955401,0.999347104138,0.0124699115088,0.999150586956,3.8348823288e-16,1.83158040384e-06,0.000580338877782,2.06788126953e-06,9.14494633292e-08,0.959907857133,2.32889569075e-05,0.997282308939,1.19509422298e-06,7.27140671719e-09,0.999999970321
purple,rgb,1.49874776128e-09,2.68656199992e-35,2.53029091101e-12,8.97699727637e-49,0.0015131906352,1.66881105734e-21,0.0126399645199,0.147146972438,0.171437188298,2.14561746094e-20,0.121825343618,0.955677001748,1.40204006775e-17,0.117587435653,0.896323027416,5.87470418373e-22,2.24324605077e-20,0.00062716820706
purple,shape,1.44861514886e-11,3.62962588344e-21,0.070021231607,5.8724190158e-32,8.87464715265e-05,0.000450615976142,0.986865112233,6.9907813479e-25,2.89308170302e-05,6.68294937884e-06,3.80026641121e-06,0.799737034002,9.14517978262e-06,2.91071416651e-05,0.648248307252,0.0004341024674,1.23162403211e-08,0.251488043469
orange,rgb,1.87160108939e-06,3.17041128865e-08,1.65662423785e-08,0.244614686458,0.862768173626,1.43083594738e-34,0.35685639405,7.99992050623e-10,7.04949898564e-07,0.816019628332,8.78405686577e-05,0.000326129264534,0.994343464291,4.37237731873e-10,1.79418946455e-05,1.00029644572e-37,0.000366923574512,4.80931243023e-07
orange,shape,0.000565454443423,4.30447877649e-12,0.000214451889088,1.10436619423e-12,0.135780510013,9.00330891182e-05,0.000348497106594,4.61300751494e-10,1.78734868587e-05,0.211840011756,6.52039699616e-06,0.0562696941681,0.210483233455,6.66490955421e-05,1.4141274696e-05,6.1325742513e-11,8.32338709155e-05,2.43858263767e-11
white,rgb,4.17018736207e-160,0.0,4.95170039203e-214,5.44820067486e-299,1.61227685841e-28,0.0,1.0506235656e-39,0.995346852112,2.68356362141e-38,0.378147893495,1.96854421996e-12,0.0102052532198,1.43859332898e-88,4.14890259532e-46,2.5813345939e-06,0.0,2.96063325733e-35,5.03526668359e-95
white,shape,7.73152402145e-11,3.62337806574e-19,4.18686629359e-05,9.38803247544e-24,0.000102381046176,0.000114282091621,9.33096380325e-07,0.44439243832,0.000475403526007,0.000595421944406,0.000593223464874,2.17784271967e-05,2.51256713068e-13,1.32758372155e-05,2.99807781248e-06,6.6025388377e-13,0.000584042036788,5.2239495753e-31
semicylinder,rgb,0.644456106881,0.748166595628,0.38053664579,0.763314758254,0.179637755341,0.947472837278,0.00347112363531,5.99779682434e-05,0.204361058373,9.34307747898e-06,0.0626229129203,0.0522963644809,0.340423870094,0.113350273821,0.0397139813201,0.954957123233,0.000329819429032,0.627150010629
semicylinder,shape,8.1469259252e-05,3.7855153418e-11,0.0122065639023,2.79636032122e-05,2.23899530475e-07,0.000572235654073,7.3250294296e-07,0.267675819963,0.996202918012,0.304744316792,6.85984635823e-05,0.199897532948,3.55438819981e-13,0.000614582801634,4.76771356612e-07,0.195793351729,9.49853813313e-05,3.36130605359e-15
banana,rgb,9.987344899e-191,1.66077602262e-21,3.46113162359e-273,9.67314642479e-74,1.26781064012e-17,0.0,4.77955131939e-48,2.88764588703e-20,1.36988649405e-44,8.56611086488e-15,3.99520389939e-13,0.000836869666501,6.70890097872e-22,9.83460763471e-69,3.11049524927e-06,0.0,0.506725739812,1.66880042937e-08
banana,shape,2.49364821908e-08,2.97321005415e-16,0.00359079140714,2.73486064112e-23,7.66338141607e-05,2.44488335095e-05,2.16929663145e-05,7.85039850085e-08,0.00762134327065,0.217414161728,3.19494829192e-06,3.30830798657e-06,1.52380978083e-09,0.000178977071682,7.78912711804e-06,9.88418636405e-07,0.987926841397,2.71678885576e-22
red,rgb,0.984552400399,1.42904544529e-86,0.999622137243,3.75084399253e-43,0.000501511216485,2.19618580032e-14,1.17696370358e-16,3.0832338535e-82,9.67867618959e-34,7.2919306681e-58,1.21378270722e-27,1.13699049725e-17,3.35763352328e-12,3.79307743173e-44,1.40577563329e-12,1.02156671571e-19,8.91978524857e-117,1.84729792673e-52
red,shape,0.595504321349,0.593448590304,7.3536285136e-07,0.666089110101,0.944501167721,0.237973660943,1.71836182839e-06,5.23219909031e-11,0.225085965828,0.000180414979403,0.195314364003,0.208722917706,0.178629454862,0.012002372731,0.000122161897016,0.582172322672,2.01488216564e-10,8.88593741176e-24
brown,rgb,6.26046377626e-41,9.34043040834e-46,4.42081818929e-70,5.61488592954e-22,0.998894592492,7.84559972178e-142,7.61675694101e-06,5.23468442864e-24,2.14175651937e-44,0.386671647606,1.55005775183e-18,3.73769772038e-07,0.146800459076,1.63096935477e-55,7.81830277685e-08,1.83993096817e-154,1.01010807082e-13,3.99015420499e-49
brown,shape,0.00739917232134,3.1734798505e-09,9.48609643045e-05,0.000359374052977,0.19550222645,3.25043215183e-05,1.67908787357e-06,1.77637662325e-11,1.5015343399e-08,0.00253020345428,0.140065988452,8.28340841541e-08,1.3716552962e-10,0.00039757935696,0.125107199085,2.27566851884e-09,0.000174523828194,3.04591810516e-17
cube,rgb,3.3516001165e-33,0.0926413269198,4.46951992361e-55,2.66835083162e-10,1.28611242512e-10,0.12883057984,3.49091962462e-33,1.718854074e-13,0.222845843642,1.70356187815e-40,0.390638436951,0.00346296516423,1.07378318702e-09,0.701178362623,0.00787533543578,0.000614816715776,4.34506827502e-10,0.0612786743083
cube,shape,2.63470758816e-08,4.91202161697e-21,0.999848271201,1.99677866191e-24,0.000379423452326,0.00307168479437,0.00548428224353,2.89428358106e-18,4.00920526898e-09,0.000562649778488,0.00133293070745,8.1161984438e-05,0.0510671062189,1.99163847805e-05,0.00661910850944,1.00715026495e-07,8.46934870253e-07,1.01067698945e-17
triangle,rgb,0.854307841014,0.781405223332,0.694761321853,0.150285359886,0.158203312432,0.952700246273,0.172033755403,0.00553095195405,0.000586740482314,0.00139062838872,0.00344320239944,0.0421861234763,0.0406430850716,0.00058598316636,0.0636058944723,0.938025265541,0.000692041730826,0.115197400103
triangle,shape,9.25064419816e-06,0.541315298754,4.94439304967e-06,1.5129791279e-09,0.00232584882331,2.83031308461e-05,0.00106171563715,1.0926546043e-19,2.56812056092e-07,0.0781136369013,8.77267514768e-06,0.0284654545626,9.15684957591e-10,0.960102906108,1.88149065012e-07,1.55412646577e-06,3.06216411601e-09,4.10943198518e-15
corn,rgb,4.17018736207e-160,0.0,4.95170039203e-214,5.44820067486e-299,1.61227685841e-28,0.0,1.0506235656e-39,0.995346852112,2.68356362141e-38,0.378147893495,1.96854421996e-12,0.0102052532198,1.43859332898e-88,4.14890259532e-46,2.5813345939e-06,0.0,2.96063325733e-35,5.03526668359e-95
corn,shape,7.73152402145e-11,3.62337806574e-19,4.18686629359e-05,9.38803247544e-24,0.000102381046176,0.000114282091621,9.33096380325e-07,0.44439243832,0.000475403526007,0.000595421944406,0.000593223464874,2.17784271967e-05,2.51256713068e-13,1.32758372155e-05,2.99807781248e-06,6.6025388377e-13,0.000584042036788,5.2239495753e-31
cucumber,rgb,2.01354023063e-170,3.4447945011e-91,0.0,9.86410443857e-119,3.10871484309e-28,4.30821718877e-217,7.98190418335e-159,4.80612077375e-28,1.83061793865e-20,1.14356696749e-176,0.999635648814,5.89252551426e-05,6.85671452963e-37,3.70876822703e-18,3.81991674198e-12,2.11884903097e-243,1.29533931237e-11,2.8558206937e-38
cucumber,shape,7.26138616528e-13,6.53415474438e-17,0.000405150907642,8.99439713262e-28,1.59664927625e-05,0.00450686407818,5.15492008503e-08,0.454540066714,1.85596566561e-09,0.0397405985221,0.60220128871,3.48233582914e-07,1.22151688997e-10,0.0001109422777,8.30738692389e-05,7.54818500652e-07,0.000409304885099,3.79949210455e-17
cabbage,rgb,8.47428334542e-106,0.0,8.72161461797e-145,0.0,6.13142198574e-35,1.31203663259e-38,1.11432449971e-47,3.7292487731e-29,1.23435209883e-40,2.52048495532e-51,1.08524441262e-24,0.0854968468904,3.94873410814e-123,1.68369179752e-41,0.998809148834,1.63237241016e-30,2.62155323574e-234,6.35559789201e-140
cabbage,shape,1.86169212631e-11,4.13513972674e-23,4.82836701109e-05,2.69555967912e-31,4.95507734232e-05,3.24169248482e-07,5.88824004252e-07,6.32508656709e-18,5.92253521787e-08,0.000389943339616,7.19816543977e-06,7.84010502856e-06,9.98177703826e-12,1.59521681818e-05,0.646085049974,3.0630423424e-09,5.68070199489e-07,5.09596826222e-23
arch,rgb,0.121062652815,0.547452610062,0.152307755816,0.310266263902,0.10801495446,6.69262868082e-06,0.0157813939321,0.123111053183,0.931051579272,0.308855153958,0.376500306668,0.0585011050716,0.1879936215,0.748863679418,0.0214409395047,1.94029581946e-06,0.910098851879,0.777768172227
arch,shape,1.19906550079e-08,1.10579753914e-21,0.000296152962029,1.77439727711e-26,7.92932196086e-05,0.00156438445612,2.5138979188e-05,2.95572230595e-12,0.00116657928886,0.219301119263,3.42733701136e-06,8.3488449405e-06,1.43119961691e-08,9.44078847912e-05,4.51711886743e-05,0.997008190704,0.986806707672,5.9386301637e-13
tomato,rgb,0.985905337576,0.0,0.00156801480999,7.21677383782e-216,1.76214008764e-07,2.1754876147e-13,1.1198781963e-19,8.62661946056e-150,1.70771129492e-112,2.24038487055e-84,1.62176603877e-69,3.02411182465e-31,6.25885169013e-49,8.54751563743e-127,3.54216506192e-19,5.51966439644e-22,0.0,4.9295815166e-241
tomato,shape,0.747374376624,1.57983286298e-29,0.0023178911225,0.294829655089,0.966891506553,1.80728113159e-06,1.05251618736e-07,2.43854291186e-19,5.21704850761e-05,3.8276544452e-05,1.72621518479e-07,3.98404469016e-06,5.27689289662e-07,1.14022957823e-06,2.55926244927e-06,5.30969323819e-13,7.35285511863e-07,1.06913791455e-17
potato,rgb,2.4367223916e-45,2.62766172798e-45,1.0598823681e-70,2.83109234526e-20,0.874142480233,3.73992206434e-123,1.40599790918e-05,1.29017630494e-23,2.65723352685e-39,0.305170344083,6.36446376746e-15,0.000652242996801,0.0189943934791,7.36428566186e-49,0.000309020067249,1.01169867296e-136,5.66448527391e-14,6.24305133333e-49
potato,shape,0.00739917232134,3.1734798505e-09,9.48609643045e-05,0.000359374052977,0.19550222645,3.25043215183e-05,1.67908787357e-06,1.77637662325e-11,1.5015343399e-08,0.00253020345428,0.140065988452,8.28340841541e-08,1.3716552962e-10,0.00039757935696,0.125107199085,2.27566851884e-09,0.000174523828194,3.04591810516e-17
plum,rgb,4.67143255804e-05,0.0,2.35294419716e-05,0.0,7.79886304562e-08,2.66325342023e-51,0.00707114897743,5.77891288038e-71,8.96925733163e-77,6.61077784339e-61,1.15852615843e-40,3.38274806117e-09,2.91667628571e-91,5.78578936106e-77,0.00319168385411,5.16473011132e-57,3.58907917728e-256,2.58832756153e-229
plum,shape,1.03951315637e-11,2.48055642743e-17,0.091408054255,1.64131525788e-29,2.21041073941e-05,0.000201989356344,0.991902654612,1.6611891249e-19,2.00472329506e-05,6.14835417465e-06,1.59325394857e-05,0.000305959903255,0.000242655910306,9.24715789026e-05,0.000355361750797,0.00171517296313,2.55838976476e-07,0.231016871762
green,rgb,2.577733969e-06,6.6843945832e-25,2.27170215588e-08,3.97103133622e-46,0.000233644727234,1.76010405525e-110,2.0437328831e-25,7.48840880586e-22,1.0,2.91959818701e-39,0.99999999414,0.00361647832427,1.73861289387e-12,1.0,2.0004084298e-07,2.14627675125e-127,1.40883386937e-09,1.0
green,shape,4.82892670339e-10,3.99983473736e-15,0.0222390392129,1.27198740872e-16,0.0616068931022,0.506618928411,0.000441375306726,0.367377378457,0.00234794103917,0.19092368503,0.57147117899,2.34181574121e-07,0.00557785100765,0.145429210225,0.131926257765,0.12245590716,0.00807621761368,0.502061380976
eggplant,rgb,1.50961625727e-244,0.0,0.0,0.0,2.90697906385e-53,9.32357484281e-303,6.10752405821e-179,0.0584904476505,1.45114194773e-71,1.77427378401e-183,3.15980131112e-07,0.935036168295,2.61816933606e-183,1.48245812104e-24,0.181851037625,0.0,1.10403958556e-177,4.82918213539e-283
eggplant,shape,1.46460645512e-10,8.24082945669e-21,0.00027987839096,3.01174997789e-28,6.80582465075e-05,2.19434410831e-05,2.5802630893e-06,2.50566646814e-21,1.42132307896e-09,9.37450800831e-05,2.32720682011e-05,0.800331779503,6.35788315116e-09,8.47220747516e-05,2.04438897482e-05,5.71101410734e-09,1.41138341339e-08,2.8260324433e-19
ovoid,rgb,0.0,0.0,0.0,0.0,2.3536629757e-76,1.46911426887e-242,0.0,0.201668797001,9.35905408771e-41,0.0,0.999999845502,0.734544840855,1.45815584925e-126,0.2,0.259080888367,3.47428780168e-256,4.86581040643e-101,6.07945981689e-98
ovoid,shape,8.1533200515e-15,2.0696388605e-16,5.40970796576e-05,1.81907630974e-30,4.56104977115e-05,0.00339244204273,1.68320328518e-09,0.454363862506,6.8998012472e-07,0.0284889316141,0.49976690031,0.799719415984,1.3489394787e-12,0.000512591151819,1.71933813482e-06,3.44928084207e-07,0.000291653578259,7.4325876914e-22
block,rgb,0.0411745679694,0.849976823404,0.872899780519,0.109268932347,0.00110309720824,0.999860429522,0.00269880622568,0.000320146122805,0.9615078817,0.000831223244002,0.0932837713529,0.0229594661254,0.000309312049274,0.92016134526,0.0319829494178,0.999830195243,0.0400234500189,0.423292604503
block,shape,0.000372526351875,0.999999983244,0.981158935634,0.166828623919,0.00863884701249,0.95430984471,0.00407477644645,0.362299707911,0.984679345983,0.303747064307,0.253486067116,0.200058792178,0.0630719241605,0.994018803768,0.0603916070272,0.994832249227,1.17958651357e-09,9.98357900704e-10
